artist;song;duration_ms;year;tempo;genre;energy;key;loudness
G-Eazy;Me, Myself & I;251466;2015;111.995;hip hop, pop;0.674;0;-6.518
Scissor Sisters;I Don't Feel Like Dancin';288360;2006;108.023;pop, rock, Dance/Electronic;0.923;7;-3.409
Scouting For Girls;This Ain't a Love Song;210680;2017;176.667;pop, rock;0.905;0;-4.157
Britney Spears;Lucky;206226;2000;95.026;pop;0.791;8;-5.707
Ciara;1, 2 Step (feat. Missy Elliott) - Main;202213;2005;113.053;pop, R&B;0.498;5;-10.94
Cardi B;Money;183527;2018;130.003;hip hop, pop;0.59;8;-6.508
Adele;Chasing Pavements;210506;2008;80.045;pop, R&B;0.47;5;-6.09
Usher;OMG (feat. will.i.am);269493;2010;129.998;hip hop, pop, R&B;0.745;4;-5.81
Keri Hilson;Knock You Down;326186;2009;155.165;pop, R&B;0.877;8;-4.78
Flo Rida;Right Round;204640;2009;124.986;hip hop, pop;0.672;7;-6.852
Junior Senior;Move Your Feet;181826;2002;118.877;pop;0.904;9;-2.623
Rihanna;S&M;243533;2010;127.975;hip hop, pop, R&B;0.682;1;-5.02
Robbie Williams;Radio;233600;2004;130.015;pop, rock;0.874;5;-5.409
The Weeknd;The Hills;242253;2015;113.003;pop, R&B;0.564;0;-7.063
Professor Green;Read All About It;235735;2011;100.963;Dance/Electronic;0.752;11;-5.522
Kesha;TiK ToK;199693;2010;120.028;pop, Dance/Electronic;0.837;2;-2.718
Crazy Town;Butterfly;216733;1999;103.502;rock, metal;0.811;9;-4.17
Sam Smith;How Do You Sleep?;202204;2019;110.567;pop;0.682;1;-4.931
Demi Lovato;Heart Attack;210840;2013;173.968;pop;0.785;8;-4.802
MARINA;Primadonna;221075;2012;127.98;pop, Dance/Electronic;0.689;4;-2.671
Mariah Carey;Loverboy;229173;2001;103.141;pop, R&B;0.79;1;-4.125
Destiny's Child;Independent Women, Pt. 1;221133;2001;97.954;pop, R&B;0.602;6;-3.782
M.O.P.;Cold as Ice;244466;2000;85.565;hip hop;0.88;11;-5.425
La Roux;Bulletproof;205733;2009;123.016;pop, Dance/Electronic;0.882;3;-2.771
OneRepublic;Wherever I Go;169773;2016;99.961;pop;0.689;10;-6.444
